年份,人口自然增长率（%）,国民总收入（亿元）,居民消费价格指数增长率（%）,人均GDP（元）
1988,15.73,15037,18.8,1366
1989,15.04,17001,18,1519
1990,14.39,18718,3.1,1644
1991,12.98,21826,3.4,1893
1992,11.6,26937,6.4,2311
1993,11.45,35260,14.7,2998
1994,11.21,48108,24.1,4044
1995,10.55,59811,17.1,5046
1996,10.42,70142,8.3,5846
1997,10.06,78061,2.8,6420
1998,9.14,83024,-0.8,6796
1999,8.18,88479,-1.4,7159
2000,7.58,98000,0.4,7858
2001,6.95,108068,0.7,8622
2002,6.45,119096,-0.8,9398
2003,6.01,135174,1.2,10542
2004,5.87,159587,3.9,12336
2005,5.89,184089,1.8,14040
2006,5.38,213132,1.5,16024
